farm_id,species_count,area_ha,organic_matter,ph_level,soil_structure,water_consumption,yield_tons,co2_emissions,revenue,costs,labor_hours,income_per_capita,regional_average_income
1,108.0,774.54,4.52,6.97,0.64,14939.97,23.80,4438.88,4506933.15,3154853.21,540.27,43925.84,30000.0
2,121.0,848.49,2.93,6.40,0.56,16963.03,25.14,4672.97,4260229.51,2978159.86,656.30,47305.30,30000.0
3,111.0,597.12,3.25,7.35,0.64,9745.23,27.95,3295.49,4750746.81,3325522.77,346.05,38737.80,30000.0
4,116.0,823.82,4.70,5.59,0.73,13738.50,22.65,12422.29,3060289.36,2142202.55,304.76,33724.93,30000.0
5,117.0,885.51,3.89,6.37,0.87,9980.62,18.05,1493.02,3038584.75,2127009.33,455.22,42061.63,30000.0
6,70.0,757.36,2.49,7.17,0.82,15144.22,24.29,12323.09,4774681.31,3342276.92,580.00,39982.73,30000.0
7,111.0,603.60,5.06,6.94,0.88,10138.98,26.99,1071.20,4807174.07,3365021.85,604.98,46215.39,30000.0
8,73.0,606.21,2.22,6.06,0.67,6148.43,18.66,789.63,4556373.48,3189461.44,354.59,31212.22,30000.0
9,120.0,634.91,5.45,7.26,0.82,6830.09,19.77,921.73,4522667.96,3165867.57,339.92,44513.88,30000.0
10,121.0,731.59,2.28,6.66,0.62,8307.88,19.93,1019.18,4274120.24,2991884.17,393.74,46037.12,30000.0
11,103.0,634.12,5.29,7.35,0.66,9809.59,24.53,1127.24,4394525.37,3076167.76,634.03,32014.11,30000.0
12,74.0,805.29,2.40,6.09,0.82,8312.59,18.15,1192.59,4411396.29,3087977.40,443.48,43375.58,30000.0
13,113.0,757.01,3.62,6.80,0.67,11804.12,23.36,1272.02,4845188.28,3391631.80,359.34,35495.70,30000.0
14,112.0,693.94,3.23,6.82,0.83,9895.09,22.62,1079.88,4548958.74,3184271.12,697.88,38385.59,30000.0
15,79.0,575.12,4.46,7.31,0.75,8971.07,22.77,843.24,4687083.09,3280958.16,331.80,47895.25,30000.0
16,106.0,791.23,3.73,6.56,0.86,9742.92,19.33,1180.46,4174928.81,2922450.17,656.17,34683.33,30000.0
17,97.0,652.88,4.55,7.45,0.73,10169.14,25.16,1086.76,4040497.18,2828348.03,370.84,42586.73,30000.0
18,79.0,868.09,5.53,6.08,0.63,12127.37,21.46,1497.19,4743880.98,3320716.69,647.42,42031.84,30000.0
19,89.0,553.77,2.03,7.00,0.84,8809.91,21.75,686.54,4206436.45,2944505.52,479.15,39371.20,30000.0
20,113.0,670.54,3.83,6.24,0.64,9159.47,19.86,969.08,4621111.59,3234778.11,600.47,30222.62,30000.0
21,99.0,521.74,2.78,7.12,0.63,7594.63,23.81,650.48,4971329.75,3479930.83,484.65,37033.12,30000.0
22,84.0,662.90,4.53,6.76,0.76,9437.27,21.56,941.80,4330587.62,3031411.33,422.39,49744.15,30000.0
23,117.0,777.69,4.23,7.42,0.79,10632.28,22.30,1341.38,4780957.06,3346670.94,342.02,30143.61,30000.0
24,121.0,821.61,2.59,6.73,0.62,13866.88,24.15,1464.22,4870131.24,3409091.87,693.15,36064.02,30000.0
25,103.0,685.02,2.94,6.02,0.82,8364.58,20.69,974.04,4494502.84,3146151.99,583.59,44549.31,30000.0
26,72.0,543.99,4.97,7.22,0.86,9040.03,24.59,768.98,4830198.09,3381138.66,523.27,48237.72,30000.0
