farm_id,species_count,area_ha,organic_matter,ph_level,soil_structure,water_consumption,yield_tons,co2_emissions,revenue,costs,labor_hours,income_per_capita,regional_average_income
1,58.0,374.54,4.52,6.97,0.84,4939.97,13.80,1438.88,1506933.15,1130199.86,340.27,33925.84,25000.0
2,71.0,448.49,2.93,6.40,0.56,6963.03,15.14,1672.97,1260229.51,945171.63,456.30,37305.30,25000.0
3,61.0,197.12,3.25,7.35,0.64,3245.23,17.95,1095.49,1750746.81,1313059.60,246.05,28737.80,25000.0
4,66.0,423.82,4.70,5.59,0.73,5438.50,12.65,1542.29,1060289.36,795216.52,104.76,23724.93,25000.0
5,67.0,485.51,3.89,6.37,0.87,3980.62,8.05,1493.02,1038584.75,726008.33,255.22,32061.63,25000.0
6,20.0,357.36,2.49,7.17,0.92,5144.22,14.29,1323.09,1774681.31,1328510.98,380.00,29982.73,25000.0
7,61.0,203.60,5.06,6.94,0.88,4138.98,16.99,1071.20,1807174.07,1355380.55,404.98,36215.39,25000.0
8,23.0,206.21,2.22,6.06,0.57,2148.43,8.66,789.63,1556373.48,1167280.11,154.59,21212.22,25000.0
9,70.0,234.91,5.45,7.26,0.92,2830.09,9.77,921.73,1522667.96,1142000.97,139.92,34513.88,25000.0
10,71.0,331.59,2.28,6.66,0.62,3307.88,9.93,1019.18,1274120.24,955590.18,193.74,36037.12,25000.0
11,53.0,234.12,5.29,7.35,0.66,3809.59,14.53,1127.24,1394525.37,1045894.03,434.03,22014.11,25000.0
12,24.0,405.29,2.40,6.09,0.92,3312.59,8.15,1192.59,1411396.29,1058547.22,243.48,33375.58,25000.0
13,63.0,357.01,3.62,6.80,0.67,4804.12,13.36,1272.02,1845188.28,1383891.21,159.34,25495.70,25000.0
14,62.0,293.94,3.23,6.82,0.83,3895.09,12.62,1079.88,1548958.74,1161719.06,497.88,28385.59,25000.0
15,29.0,175.12,4.46,7.31,0.75,2971.07,12.77,843.24,1687083.09,1265312.32,131.80,37895.25,25000.0
16,56.0,391.23,3.73,6.56,0.86,3742.92,9.33,1180.46,1174928.81,881196.61,456.17,24683.33,25000.0
17,47.0,252.88,4.55,7.45,0.73,4169.14,15.16,1086.76,1040497.18,780373.39,170.84,32586.73,25000.0
18,29.0,468.09,5.53,6.08,0.53,5127.37,11.46,1497.19,1743880.98,1307910.74,447.42,32031.84,25000.0
19,39.0,153.77,2.03,7.00,0.84,2809.91,11.75,686.54,1206436.45,904827.34,279.15,29371.20,25000.0
20,63.0,270.54,3.83,6.24,0.54,3159.47,9.86,969.08,1621111.59,1215833.69,400.47,20222.62,25000.0
21,49.0,121.74,2.78,7.12,0.53,2594.63,13.81,650.48,1971329.75,1478497.31,284.65,27033.12,25000.0
22,34.0,262.90,4.53,6.76,0.76,3437.27,11.56,941.80,1330587.62,997940.72,222.39,39744.15,25000.0
23,67.0,377.69,4.23,7.42,0.79,4632.28,12.30,1341.38,1780957.06,1335717.80,142.02,20143.61,25000.0
24,71.0,421.61,2.59,6.73,0.62,5866.88,14.15,1464.22,1870131.24,1402598.43,493.15,26064.02,25000.0
25,53.0,285.02,2.94,6.02,0.92,3364.58,10.69,974.04,1494502.84,1120877.13,383.59,34549.31,25000.0
26,22.0,143.99,4.97,7.22,0.86,3040.03,14.59,768.98,1830198.09,1372648.57,323.27,38237.72,25000.0
27,68.0,196.12,5.36,6.93,0.82,3641.56,15.37,957.24,1880451.94,1410338.95,283.75,31593.96,25000.0
28,40.0,177.03,4.76,6.09,0.73,2551.44,10.30,763.06,1350954.04,1013215.53,109.38,20827.37,25000.0
29,26.0,400.96,5.99,6.47,0.87,4568.94,11.30,1285.92,1410190.44,1057642.83,329.50,36745.29,25000.0
30,64.0,121.30,5.43,6.79,0.71,2551.09,13.45,639.60,1172305.97,879729.48,465.50,24838.60,25000.0
31,46.0,365.58,2.13,6.07,0.53,4573.54,12.54,1260.16,1960579.44,1470434.58,378.03,31894.62,25000.0
32,52.0,389.14,4.56,6.81,0.85,4522.40,11.60,1294.28,1035333.81,776500.36,190.93,27448.91,25000.0
33,29.0,404.75,5.76,6.22,0.88,5102.85,12.65,1359.50,1737662.77,1303247.08,432.95,31864.83,25000.0
34,62.0,465.10,2.16,6.12,0.87,6152.25,13.22,1497.20,1568139.82,1176104.86,484.89,24506.89,25000.0
35,40.0,498.44,2.77,6.34,0.61,6043.29,12.11,1508.88,1993992.45,1495494.34,452.75,38944.24,25000.0
36,39.0,252.78,4.44,7.46,0.55,3748.77,12.92,985.56,1593928.94,1195446.70,291.02,28595.39,25000.0
37,70.0,239.54,5.37,6.59,0.60,3510.04,12.73,955.08,1125155.73,843866.80,110.37,20113.82,25000.0
38,46.0,120.09,3.75,6.34,0.89,2528.02,13.37,636.18,1254160.83,940620.62,468.63,33528.67,25000.0
39,51.0,183.77,2.93,6.60,0.85,2809.91,11.75,748.54,1290077.85,967558.39,193.74,35339.97,25000.0
40,67.0,382.84,4.42,6.22,0.62,4758.12,12.50,1315.68,1658850.17,1244137.63,400.47,29429.58,25000.0
41,49.0,297.36,2.67,7.11,0.53,4169.14,15.16,1046.72,1472602.01,1104451.51,170.84,32586.73,25000.0
42,34.0,468.09,5.53,6.08,0.76,5127.37,11.46,1497.19,1743880.98,1307910.74,447.42,32031.84,25000.0
43,67.0,153.77,2.03,7.00,0.84,2809.91,11.75,686.54,1206436.45,904827.34,279.15,29371.20,25000.0
44,71.0,270.54,3.83,6.24,0.54,3159.47,9.86,969.08,1621111.59,1215833.69,400.47,20222.62,25000.0
45,53.0,121.74,2.78,7.12,0.53,2594.63,13.81,650.48,1971329.75,1478497.31,284.65,27033.12,25000.0
46,22.0,262.90,4.53,6.76,0.76,3437.27,11.56,941.80,1330587.62,997940.72,222.39,39744.15,25000.0
47,68.0,377.69,4.23,7.42,0.79,4632.28,12.30,1341.38,1780957.06,1335717.80,142.02,20143.61,25000.0
48,40.0,421.61,2.59,6.73,0.62,5866.88,14.15,1464.22,1870131.24,1402598.43,493.15,26064.02,25000.0
49,26.0,285.02,2.94,6.02,0.92,3364.58,10.69,974.04,1494502.84,1120877.13,383.59,34549.31,25000.0
50,64.0,143.99,4.97,7.22,0.86,3040.03,14.59,768.98,1830198.09,1372648.57,323.27,38237.72,25000.0
